,Country,Year,Alcohol Consumption ,Mortality Rate
0,Germany,2000,13.82,5.1
1,Germany,2005,13.01,5.1
2,Germany,2010,12.41,5.55
3,Germany,2015,12.15,5.6
4,Germany,2019,12.22,5.45
5,UK,2000,12.28,10.0
6,UK,2005,12.38,12.15
7,UK,2010,10.95,15.58
8,UK,2015,10.52,19.13
